UF,Cidade,tempmax,tempmin,Mês DPP,Município
AL,Coruripe,"30,3","24,78",3,
AL,Coruripe,"29,63","24,39",4,
AL,Coruripe,"28,69","23,48",5,
AL,Coruripe,"26,98","22,15",6,
AL,Coruripe,"27,61","20,7",7,
AL,Coruripe,"27,94","21,46",8,
AL,Coruripe,"28,07","21,48",9,
AL,Coruripe,"29,41","21,57",10,
AL,Coruripe,"30,56","22,3",11,
AL,Coruripe,"31,69","22,85",12,
AL,Craíbas,"34,43","23,94",1,
AL,Craíbas,"33,78","24,35",2,
AL,Craíbas,"31,46","24,28",3,
AL,Craíbas,"29,59","24,06",4,
AL,Craíbas,"29,33","23,13",5,
AL,Craíbas,"27,43","21,8",6,
AL,Craíbas,"27,83","20,74",7,
AL,Craíbas,"28,06","21,02",8,
AL,Craíbas,"27,5","20,65",9,
AL,Craíbas,"29,07","20,74",10,
AL,Craíbas,"31,67","21,39",11,
AL,Craíbas,"34,2","21,81",12,
AL,Delmiro Gouveia,"35,78","24,91",1,
AL,Delmiro Gouveia,"34,41","23,96",2,
AL,Delmiro Gouveia,"33,52","24,61",3,
AL,Delmiro Gouveia,"32,85","24,44",4,
AL,Delmiro Gouveia,"32,67","23,07",5,
AL,Delmiro Gouveia,"30,67","20,33",6,
AL,Delmiro Gouveia,"31,67",20,7,
AL,Delmiro Gouveia,32,"20,67",8,
AL,Delmiro Gouveia,"31,33","20,67",9,
AL,Delmiro Gouveia,"33,69","22,33",10,
AL,Delmiro Gouveia,35,"22,67",11,
AL,Delmiro Gouveia,"35,33","23,33",12,
AL,Dois Riachos,35,"23,78",1,
AL,Dois Riachos,"33,96","23,61",2,
AL,Dois Riachos,"32,09","24,24",3,
AL,Dois Riachos,"30,13","23,93",4,
AL,Dois Riachos,"29,46","22,98",5,
AL,Dois Riachos,"27,43","20,31",6,
AL,Dois Riachos,"27,89","19,35",7,
AL,Dois Riachos,"28,09","20,61",8,
AL,Dois Riachos,"27,76","19,63",9,
AL,Dois Riachos,"30,72","20,19",10,
AL,Dois Riachos,"33,17","20,85",11,
AL,Dois Riachos,"34,59","21,67",12,
AL,Estrela de Alagoas,"34,63","23,52",1,
AL,Estrela de Alagoas,"33,96","23,28",2,
AL,Estrela de Alagoas,"31,59","23,94",3,
AL,Estrela de Alagoas,"29,63","23,57",4,
AL,Estrela de Alagoas,"29,46","22,57",5,
AL,Estrela de Alagoas,"27,43","19,93",6,
AL,Estrela de Alagoas,"27,89","18,94",7,
AL,Estrela de Alagoas,"28,09","20,35",8,
AL,Estrela de Alagoas,"27,46","19,41",9,
AL,Estrela de Alagoas,"29,94","20,09",10,
AL,Estrela de Alagoas,"32,69","20,76",11,
AL,Estrela de Alagoas,"34,59","21,67",12,
AL,Feira Grande,"33,13","24,3",1,
AL,Feira Grande,"33,28","24,46",2,
AL,Feira Grande,"31,41","24,93",3,
AL,Feira Grande,"30,28","24,72",4,
AL,Feira Grande,"29,2","23,57",5,
AL,Feira Grande,"27,37","22,24",6,
AL,Feira Grande,"27,78","21,04",7,
AL,Feira Grande,"28,11","21,87",8,
AL,Feira Grande,"28,07","21,81",9,
AL,Feira Grande,"29,33","21,48",10,
AL,Feira Grande,"30,94","22,07",11,
AL,Feira Grande,"32,5","22,39",12,
AL,Feliz Deserto,"32,54","24,37",1,
AL,Feliz Deserto,"32,81","24,46",2,
AL,Feliz Deserto,"30,74","24,96",3,
AL,Feliz Deserto,"30,22","24,67",4,
AL,Feliz Deserto,"29,2","23,56",5,
AL,Feliz Deserto,"27,46","22,22",6,
AL,Feliz Deserto,"27,81","21,48",7,
AL,Feliz Deserto,"28,15","22,43",8,
AL,Feliz Deserto,"28,43","22,11",9,
AL,Feliz Deserto,"29,61","21,78",10,
AL,Feliz Deserto,"30,54","22,44",11,
AL,Feliz Deserto,"31,69","22,81",12,
AL,Flexeiras,"32,04","23,76",1,
AL,Flexeiras,"31,61","24,35",2,
AL,Flexeiras,"30,02","24,72",3,
AL,Flexeiras,"29,26","24,13",4,
AL,Flexeiras,"28,72","23,31",5,
AL,Flexeiras,"26,93","21,7",6,
AL,Flexeiras,"26,78","19,91",7,
AL,Flexeiras,"27,8",20,8,
AL,Flexeiras,"27,7","20,02",9,
AL,Flexeiras,29,"20,87",10,
AL,Flexeiras,"30,61","21,67",11,
AL,Flexeiras,"31,17","22,56",12,
AL,Girau do Ponciano,"33,83","24,13",1,
AL,Girau do Ponciano,"33,59","24,46",2,
AL,Girau do Ponciano,"31,65","24,74",3,
AL,Girau do Ponciano,"30,17","24,61",4,
AL,Girau do Ponciano,"29,37","23,61",5,
AL,Girau do Ponciano,"27,28","22,13",6,
AL,Girau do Ponciano,"27,78",21,7,
AL,Girau do Ponciano,"28,02","21,54",8,
AL,Girau do Ponciano,"27,93","21,52",9,
AL,Girau do Ponciano,"29,33","21,41",10,
AL,Girau do Ponciano,"31,06","22,04",11,
AL,Girau do Ponciano,"32,69","22,31",12,
AL,Ibateguara,"32,26","23,67",1,
AL,Ibateguara,"31,59","24,28",2,
AL,Ibateguara,"29,8","24,65",3,
AL,Ibateguara,"29,39","24,11",4,
AL,Ibateguara,"28,54","23,19",5,
AL,Ibateguara,"26,67","21,56",6,
AL,Ibateguara,"27,06","19,91",7,
AL,Ibateguara,"27,85",20,8,
AL,Ibateguara,"27,67","20,2",9,
AL,Ibateguara,29,"20,78",10,
AL,Ibateguara,"30,87","21,59",11,
AL,Ibateguara,"31,44","22,61",12,
AL,Igaci,"34,52","23,8",1,
AL,Igaci,"33,87","24,3",2,
AL,Igaci,"31,56","24,26",3,
AL,Igaci,"29,61","24,06",4,
AL,Igaci,"29,41","23,13",5,
AL,Igaci,"27,54","21,8",6,
AL,Igaci,"27,87","20,7",7,
AL,Igaci,"28,09","20,89",8,
AL,Igaci,"27,48","20,5",9,
AL,Igaci,"29,09","20,63",10,
AL,Igaci,"31,78","21,3",11,
AL,Igaci,"34,48","21,7",12,
AL,Igreja Nova,"33,11","24,37",1,
AL,Igreja Nova,"33,24","24,46",2,
AL,Igreja Nova,"31,59","25,06",3,
AL,Igreja Nova,"30,87","24,93",4,
AL,Igreja Nova,"29,43","23,61",5,
AL,Igreja Nova,"27,63","22,28",6,
AL,Igreja Nova,"27,87","21,19",7,
AL,Igreja Nova,"28,26","22,07",8,
AL,Igreja Nova,"28,44","22,2",9,
AL,Igreja Nova,"29,59","21,8",10,
AL,Igreja Nova,"30,61","22,39",11,
AL,Igreja Nova,"31,89","22,63",12,
AL,Inhapi,"35,57","24,52",1,
AL,Inhapi,"34,11","23,39",2,
AL,Inhapi,"32,81","23,89",3,
AL,Inhapi,"32,15","23,7",4,
AL,Inhapi,"32,67","22,63",5,
AL,Inhapi,"30,67","20,33",6,
AL,Inhapi,"31,67",20,7,
AL,Inhapi,32,"20,67",8,
AL,Inhapi,"31,33","20,67",9,
AL,Inhapi,"33,69","22,33",10,
AL,Inhapi,35,"22,44",11,
AL,Inhapi,"35,33","23,33",12,
AL,Jacaré Dos Homens,"35,37","24,09",1,
AL,Jacaré Dos Homens,"34,02","24,39",2,
AL,Jacaré Dos Homens,"33,13","24,85",3,
AL,Jacaré Dos Homens,"31,39","24,81",4,
AL,Jacaré Dos Homens,"30,06","23,69",5,
AL,Jacaré Dos Homens,"27,85","21,15",6,
AL,Jacaré Dos Homens,"27,93","20,06",7,
AL,Jacaré Dos Homens,"28,35","20,93",8,
AL,Jacaré Dos Homens,"28,59","20,13",9,
AL,Jacaré Dos Homens,"31,81","20,59",10,
AL,Jacaré Dos Homens,"33,59","21,26",11,
AL,Jacaré Dos Homens,"34,59","21,67",12,
AL,Jacuípe,"33,04","22,91",1,
AL,Jacuípe,"32,74","23,56",2,
AL,Jacuípe,"30,44","23,67",3,
AL,Jacuípe,"30,37","23,19",4,
AL,Jacuípe,"30,04","22,46",5,
AL,Jacuípe,"27,72","20,91",6,
AL,Jacuípe,"28,04","19,8",7,
AL,Jacuípe,"28,5","19,61",8,
AL,Jacuípe,"28,3","20,26",9,
AL,Jacuípe,"29,5","20,5",10,
AL,Jacuípe,"31,5","20,8",11,
AL,Jacuípe,"32,13","22,46",12,
